Category/Service,Channel/EventID,Count,Percentage,Rules,Source
process_creation,Microsoft-Windows-Sysmon/Operational:1<br>Security:4688,2740,58.17%,2740,sysmon<br>non-default
registry_set,Microsoft-Windows-Sysmon/Operational:13,434,9.21%,434,sysmon
security,Security,257,5.46%,257,default
file_event,Microsoft-Windows-Sysmon/Operational:11,215,4.56%,215,sysmon
ps_script,"Microsoft-Windows-PowerShell/Operational,PowerShellCore/Operational:4104",187,3.97%,187,default
image_load,Microsoft-Windows-Sysmon/Operational:7,126,2.68%,126,sysmon
network_connection,Microsoft-Windows-Sysmon/Operational:3<br>Security:5156,104,2.21%,104,sysmon<br>non-default
system,System,98,2.08%,98,default
registry_event,"Microsoft-Windows-Sysmon/Operational:12,13,14<br>Security:4657",82,1.74%,82,sysmon<br>non-default
sysmon,Microsoft-Windows-Sysmon/Operational,62,1.32%,62,sysmon
ps_module,"Microsoft-Windows-PowerShell/Operational,PowerShellCore/Operational:4103",36,0.76%,36,sysmon
process_access,Microsoft-Windows-Sysmon/Operational:10,33,0.70%,33,sysmon
driver_load,Microsoft-Windows-Sysmon/Operational:6,32,0.68%,32,sysmon
application,Application,31,0.66%,31,default
dns_query,Microsoft-Windows-Sysmon/Operational:22,27,0.57%,27,sysmon
windefend,Microsoft-Windows-Windows Defender/Operational,21,0.45%,21,default
pipe_created,"Microsoft-Windows-Sysmon/Operational:17,18",20,0.42%,20,sysmon
registry_add,Microsoft-Windows-Sysmon/Operational:12<br>Security:4657,20,0.42%,20,sysmon<br>non-default
create_remote_thread,Microsoft-Windows-Sysmon/Operational:8,16,0.34%,16,sysmon
file_delete,"Microsoft-Windows-Sysmon/Operational:23,26",14,0.30%,14,sysmon
